Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,9:30,171,0,0.0001,327.74,271,4,0.013402,337.29,798,6,0.007689,317.41,329,5,0.015941,307.54
August,1,10:00,198,0,0.001853,335.15,330,3,0.010109,343.1,912,10,0.010802,328.12,388,7,0.016846,309.97
August,1,10:30,230,1,0.004435,337.59,375,7,0.019299,344.16,1006,15,0.014738,336.86,429,9,0.02022,320.72
August,1,11:00,245,0,0.001679,337.68,416,13,0.031283,348.57,1077,11,0.010165,343.56,465,8,0.016665,325.85
August,1,11:30,256,1,0.003834,335.69,455,19,0.042069,356.67,1120,13,0.01123,345.21,494,6,0.013138,325.12
August,1,12:00,263,3,0.010242,334.01,495,15,0.030901,359.38,1132,18,0.016023,345.21,507,6,0.011221,325.87
August,1,12:30,264,1,0.005048,342.62,505,16,0.031964,361.44,1130,19,0.016972,348.65,517,5,0.009121,332.58
August,1,13:00,265,1,0.004011,348.76,517,16,0.030944,354.01,1127,13,0.011108,355.48,522,4,0.008096,334.89
August,1,13:30,267,0,0.001475,346.11,530,18,0.033113,352.1,1128,12,0.011058,356.1,540,6,0.010735,332.43
August,1,14:00,270,1,0.002383,344.21,552,21,0.038899,358.42,1134,15,0.013143,356.27,567,8,0.013931,329.72
August,1,14:30,276,3,0.009668,343.91,564,22,0.038295,360.02,1134,16,0.014255,355.92,565,9,0.016657,333.05
August,1,15:00,274,5,0.018978,339.9,567,12,0.021155,362.13,1131,19,0.01679,355.19,562,8,0.013925,337.27
August,1,15:30,273,6,0.023235,344.62,560,10,0.017981,361.28,1123,20,0.017883,355.97,560,8,0.013831,335.89
August,1,16:00,266,2,0.007427,347.91,555,10,0.018613,366.68,1105,11,0.010103,357.03,571,5,0.009275,336.26
August,1,16:30,251,0,0.000362,349.52,537,10,0.018599,363.66,1057,8,0.007255,356.33,546,4,0.008162,334.62
August,1,17:00,222,0,3e-06,346.69,511,10,0.018896,358.7,989,7,0.007349,356.93,508,3,0.006579,338.58
August,1,17:30,199,0,8.6e-05,342.99,479,11,0.023765,359.8,923,7,0.007526,358.45,470,2,0.005148,331.88
August,1,18:00,172,0,0.002133,347.01,439,13,0.02924,361.9,813,6,0.00689,360.72,414,2,0.004177,329.1
August,1,18:30,147,1,0.006946,362.64,392,9,0.023854,356.84,733,5,0.006211,359.95,373,3,0.008053,331.35
August,1,19:00,102,0,0.003614,364.22,355,10,0.028317,354.38,652,5,0.007883,353.67,339,5,0.014767,332.53
August,1,19:30,75,0,0.000228,350.82,316,7,0.023307,349.4,574,5,0.008372,354.78,305,5,0.016781,332.74
August,1,20:00,57,0,2e-06,343.47,271,6,0.021184,350.98,485,6,0.011543,351.79,263,4,0.014369,326.89
August,1,20:30,46,0,0.0,334.44,240,4,0.017632,352.25,417,2,0.005101,346.66,230,4,0.018952,320.19
August,1,21:00,34,0,1e-05,337.25,207,2,0.010944,344.49,349,0,0.000618,347.69,191,9,0.04499,328.57
August,1,21:30,25,0,0.002231,326.63,173,3,0.018909,335.76,288,0,2.4e-05,345.49,168,7,0.040029,335.31
August,1,22:00,22,1,0.056835,332.68,127,1,0.00911,334.07,235,0,0.0,343.33,135,2,0.014969,325.59
August,1,22:30,16,4,0.253355,352.89,101,0,0.000537,326.94,179,0,0.0,341.45,106,0,0.002074,311.25
August,1,23:00,12,3,0.245449,321.7,75,0,4e-06,336.09,139,0,0.0,332.17,84,0,8.8e-05,306.91
August,1,23:30,10,1,0.075069,257.96,59,0,0.0,344.87,112,0,0.0,317.18,65,0,1e-06,308.18
August,2,0:00,7,0,0.0,342.02,51,0,0.0,307.37,69,0,0.0,319.4,43,0,0.0,316.45
August,2,0:30,6,0,0.0,349.25,40,0,0.0,335.87,54,0,0.0,321.31,31,0,0.0,322.62
August,2,1:00,4,0,0.0,273.26,26,0,0.0,343.44,40,0,0.0,329.36,24,0,0.0,316.63
August,2,1:30,3,0,0.0,217.58,19,0,0.0,296.48,31,0,0.0,322.61,17,0,0.0,310.75
August,2,2:00,2,0,0.0,280.94,17,0,0.0,288.98,21,0,0.0,315.81,12,0,0.0,305.33
August,2,2:30,2,0,0.0,295.15,7,0,0.0,296.72,16,0,0.0,324.83,8,0,0.0,320.57
August,2,3:00,2,0,0.0,285.57,6,0,0.0,274.21,13,0,0.0,308.53,3,0,0.0,345.71
August,2,3:30,2,0,0.0,262.14,5,0,0.0,222.08,12,0,0.0,298.25,1,0,0.0,304.14
August,2,4:00,2,0,0.0,255.87,4,0,0.0,254.05,12,0,0.0,332.41,1,0,0.0,285.78
August,2,4:30,2,0,0.0,249.17,4,0,0.0,301.57,12,0,0.0,341.66,1,0,0.0,286.27
August,2,5:00,2,0,0.0,285.99,4,0,2.8e-05,283.36,12,0,0.0,362.96,1,0,0.0,286.09
August,2,5:30,2,0,0.0,247.66,4,0,0.004542,313.38,15,0,0.0,319.36,3,0,0.0,268.43
August,2,6:00,2,0,0.0,255.91,5,0,0.076969,349.8,22,0,4e-06,291.08,9,0,8e-06,252.12
August,2,6:30,4,0,0.0,278.64,8,1,0.137006,333.05,39,0,0.000413,276.02,16,0,0.000769,261.24
August,2,7:00,6,0,0.0,263.13,14,0,0.029059,305.1,69,0,0.004971,268.18,29,0,0.009195,275.92
August,2,7:30,14,0,0.0,283.96,25,0,0.000775,315.13,114,1,0.008369,265.49,49,1,0.015387,291.49
August,2,8:00,34,0,0.0,271.78,48,0,0.000405,313.2,194,0,0.00188,274.5,81,0,0.003509,290.68
August,2,8:30,59,0,2e-06,281.41,77,0,0.005752,314.14,280,1,0.002006,291.1,119,0,0.00276,286.67
August,2,9:00,84,0,0.00018,282.01,145,2,0.013024,304.36,390,4,0.009272,297.56,174,2,0.009289,290.1
August,2,9:30,102,0,0.003153,281.63,202,3,0.015797,311.52,474,8,0.016383,308.87,215,3,0.016101,286.23
August,2,10:00,124,1,0.007362,290.98,251,5,0.018386,319.79,580,6,0.009792,316.54,257,5,0.020146,291.86
August,2,10:30,154,1,0.005553,296.19,290,7,0.024856,330.28,651,6,0.00946,324.92,298,8,0.025416,300.24
August,2,11:00,169,2,0.014239,298.34,328,7,0.0224,333.65,701,8,0.011054,328.19,331,6,0.018186,307.66
August,2,11:30,175,5,0.026301,298.49,360,8,0.021571,335.5,720,10,0.014456,332.64,352,3,0.009055,310.62
August,2,12:00,185,8,0.040561,306.25,383,7,0.018407,334.03,733,11,0.015488,334.33,366,3,0.007887,314.29
August,2,12:30,191,10,0.052768,308.34,398,12,0.029175,337.72,734,12,0.016061,334.44,375,4,0.011741,312.86
August,2,13:00,191,5,0.025102,314.39,413,15,0.036657,338.37,727,10,0.014437,337.43,379,6,0.01479,312.46
August,2,13:30,187,2,0.008219,318.19,429,17,0.040191,337.0,728,12,0.016676,339.61,380,7,0.01836,309.71
August,2,14:00,184,3,0.015089,319.41,438,17,0.037798,340.18,731,11,0.015675,340.13,381,8,0.02214,312.21
August,2,14:30,184,3,0.015374,317.45,433,11,0.026363,343.71,718,5,0.007501,339.11,382,12,0.032445,313.68
August,2,15:00,181,1,0.004391,315.25,429,6,0.013127,337.27,687,1,0.001497,340.64,376,7,0.019252,305.74
August,2,15:30,178,0,0.000202,321.21,424,5,0.010847,334.18,665,0,0.000597,338.41,360,4,0.010042,303.95
August,2,16:00,174,0,0.000206,323.42,413,4,0.010263,344.27,641,1,0.001848,339.72,346,3,0.008083,312.08
August,2,16:30,159,1,0.00489,307.78,395,3,0.008073,351.15,599,2,0.002623,338.73,326,2,0.006358,311.91
August,2,17:00,147,2,0.016816,315.38,378,3,0.006874,348.52,570,2,0.003759,340.36,305,2,0.005944,312.65
August,2,17:30,130,2,0.013569,324.46,362,4,0.009886,350.28,546,1,0.002371,340.15,289,1,0.002794,314.05
August,2,18:00,116,1,0.006192,329.37,326,6,0.019028,353.46,500,2,0.004039,339.59,256,1,0.003023,318.11
August,2,18:30,98,1,0.009301,334.59,297,6,0.019382,351.78,454,2,0.004757,342.26,231,0,0.00117,326.78
August,2,19:00,76,0,0.004249,328.06,268,4,0.014901,344.06,409,3,0.007099,341.51,214,0,5.9e-05,325.35
August,2,19:30,60,0,0.000252,323.03,243,5,0.021002,335.9,367,4,0.010617,339.59,192,0,1e-06,320.76
August,2,20:00,47,0,2e-06,303.24,218,9,0.039233,332.84,328,4,0.010662,340.03,168,0,0.000157,309.61
August,2,20:30,39,0,0.0,291.33,190,6,0.029456,320.15,278,2,0.006603,338.15,153,1,0.003695,303.54
August,2,21:00,29,0,0.0,304.12,156,5,0.029355,315.31,232,1,0.006208,337.1,127,2,0.012357,305.1
August,2,21:30,22,0,0.0,324.72,131,3,0.02102,319.16,192,0,0.002339,331.84,107,1,0.005277,309.17
August,2,22:00,16,0,0.0,355.03,102,2,0.015211,316.82,160,0,0.000129,322.09,94,0,0.000282,307.24
August,2,22:30,11,0,0.0,328.64,81,1,0.009984,315.01,131,0,1e-06,316.9,78,0,2e-06,306.9
August,2,23:00,9,0,0.0,323.3,64,1,0.017566,299.22,103,0,0.0,314.69,63,0,0.0,300.82
August,2,23:30,7,0,0.0,282.76,54,0,0.007824,298.68,90,0,0.0,311.88,52,0,0.0,287.79
August,3,0:00,3,0,0.0,318.95,39,0,0.0,277.04,56,0,0.0,305.74,39,0,0.0,290.65
August,3,0:30,3,0,0.0,334.1,30,0,0.0,282.16,45,0,0.0,313.51,29,0,0.0,290.07
August,3,1:00,3,0,0.0,333.57,16,0,0.0,313.81,34,0,0.0,291.6,22,0,0.0,319.74
August,3,1:30,2,0,0.0,310.36,10,0,0.0,330.06,27,0,0.0,284.24,17,0,0.0,343.57
August,3,2:00,2,0,0.0,235.15,7,0,0.0,344.19,19,0,0.0,297.23,12,0,0.0,343.45
August,3,2:30,1,0,0.0,273.21,4,0,0.0,298.15,14,0,0.0,300.23,8,0,0.0,352.62
August,3,3:00,2,0,0.0,326.72,4,0,0.0,292.82,12,0,0.0,319.31,3,0,0.0,342.37
August,3,3:30,2,0,0.0,423.73,3,0,0.0,244.34,10,0,0.0,365.09,1,0,0.0,287.54
August,3,4:00,2,0,0.0,365.64,3,0,0.0,202.97,9,0,0.0,383.69,1,0,0.0,251.32
August,3,4:30,2,0,0.0,257.04,3,0,0.0,306.94,9,0,0.0,353.93,1,0,0.0,266.16
August,3,5:00,2,0,0.0,203.06,3,0,0.0,374.18,10,0,0.0,318.12,1,0,0.0,292.01
August,3,5:30,2,0,0.0,218.46,3,0,0.0,294.1,12,0,0.0,266.82,2,0,0.0,278.22
August,3,6:00,3,0,0.0,243.32,3,0,0.0,257.83,19,0,0.0,257.84,6,0,0.0,230.72
August,3,6:30,3,0,0.0,241.8,4,0,0.0,256.68,29,0,0.0,257.29,12,0,0.0,251.35
August,3,7:00,5,0,0.0,265.58,9,0,0.0,262.31,44,0,0.0,262.36,21,0,0.0,288.41
August,3,7:30,8,0,0.0,286.22,13,0,0.0,273.87,69,0,0.0,265.42,34,0,0.0,294.43
August,3,8:00,14,0,0.0,269.15,26,0,0.0,268.96,109,0,0.0,271.48,52,0,0.0,288.58
August,3,8:30,16,0,0.0,270.48,40,0,0.0,284.72,146,0,0.0,282.93,71,0,6e-06,295.91
August,3,9:00,20,0,0.0,264.81,80,0,0.0,292.76,196,0,0.0,291.82,99,0,0.000668,288.49
August,3,9:30,24,0,0.0,286.52,104,0,0.0,297.54,243,0,0.0,289.55,121,2,0.012776,279.45
August,3,10:00,29,0,0.0,289.85,128,0,5e-06,296.08,294,0,0.0,289.92,144,7,0.048959,290.75
August,3,10:30,37,0,0.0,284.13,145,0,0.000665,301.19,357,0,0.0,295.25,172,11,0.063759,305.34
August,3,11:00,37,0,0.0,286.65,163,2,0.012665,299.41,395,0,3e-06,303.35,189,6,0.033682,302.53
August,3,11:30,41,0,6e-06,291.35,186,6,0.031237,300.28,434,0,0.000521,306.42,204,3,0.015742,300.16
August,3,12:00,57,0,0.000756,289.91,207,4,0.019675,297.75,463,5,0.010753,304.49,220,1,0.006027,298.97
August,3,12:30,68,1,0.013356,290.71,231,6,0.027462,294.97,472,17,0.036712,306.14,223,3,0.012229,296.37
August,3,13:00,81,3,0.031381,292.06,259,6,0.023246,291.71,478,23,0.048556,313.18,226,6,0.0256,301.46
August,3,13:30,86,1,0.01106,291.07,277,7,0.024908,294.93,481,30,0.063027,315.95,232,5,0.023382,301.19
August,3,14:00,89,1,0.009627,295.65,291,2,0.007717,301.75,485,18,0.037987,318.66,233,3,0.011539,301.72
August,3,14:30,90,2,0.025696,298.57,293,0,0.000356,306.72,484,4,0.008247,318.43,233,3,0.014889,301.22
August,3,15:00,87,2,0.018323,299.56,299,0,0.000205,305.28,483,0,0.000355,320.52,233,3,0.01078,304.48
August,3,15:30,86,2,0.02542,295.27,305,1,0.004259,303.93,473,0,2e-06,319.88,234,4,0.015955,303.58
August,3,16:00,86,1,0.008911,291.78,297,4,0.012341,304.67,463,0,0.0,317.26,226,3,0.012051,311.88
August,3,16:30,83,0,0.000433,287.47,284,3,0.009156,304.55,446,0,0.0,321.44,219,4,0.018223,311.1
August,3,17:00,76,0,3e-06,288.09,276,4,0.013399,304.82,424,0,0.0,320.06,212,1,0.006791,313.25
August,3,17:30,70,0,0.0,286.84,266,2,0.007577,301.99,401,0,0.0,314.86,205,1,0.002634,308.75
August,3,18:00,56,0,0.0,298.87,245,3,0.013438,302.17,353,0,0.0,315.5,190,1,0.006918,301.3
August,3,18:30,47,0,0.0,290.59,221,6,0.029321,297.37,331,0,0.0,315.48,173,0,0.002729,298.77
August,3,19:00,37,0,0.0,285.16,196,9,0.043919,292.66,301,0,0.0,317.11,160,0,0.000344,301.89
August,3,19:30,35,0,0.0,280.95,179,6,0.032468,301.26,272,0,0.0,315.52,155,1,0.004518,311.07
August,3,20:00,35,0,0.0,295.62,159,1,0.008811,299.12,249,0,0.0,308.91,142,2,0.013652,309.14
August,3,20:30,31,0,0.0,295.81,140,0,0.000439,295.37,226,0,0.0,311.07,127,1,0.005489,305.52
August,3,21:00,23,0,1.1e-05,300.31,122,0,3e-06,295.4,198,0,0.0,313.0,105,0,0.000312,307.86
August,3,21:30,18,0,0.002251,321.12,108,0,0.0,298.54,171,0,0.0,308.1,94,0,0.000197,312.37
August,3,22:00,15,1,0.056799,290.51,87,0,0.0,292.25,148,0,0.0,307.45,83,0,0.00472,309.29
August,3,22:30,13,2,0.187995,304.51,71,0,0.0,281.27,126,0,0.0,306.28,71,1,0.015239,305.04
August,3,23:00,10,1,0.089687,336.51,58,0,0.0,265.72,99,0,0.0,304.31,59,0,0.006676,313.09
August,3,23:30,8,0,0.005341,297.08,53,0,0.0,265.79,84,0,0.0,301.45,52,0,0.000354,333.82
August,4,0:00,4,0,0.0,365.61,66,0,0.0,353.89,57,0,0.0,331.95,33,0,0.0,325.87
August,4,0:30,3,0,0.0,331.94,68,0,0.0,345.16,47,0,0.0,326.76,26,0,0.0,326.43
August,4,1:00,2,0,0.0,349.89,88,0,0.0,357.12,35,0,0.0,327.55,19,0,0.0,337.09
August,4,1:30,2,0,0.0,374.76,76,0,0.0,339.42,25,0,0.0,329.98,15,0,0.0,324.26
August,4,2:00,2,0,0.0,410.83,79,0,0.0,296.17,18,0,0.0,319.6,10,0,0.0,318.13
August,4,2:30,2,0,0.0,327.3,77,0,0.0,310.15,15,0,0.0,341.75,9,0,0.0,330.18
August,4,3:00,1,0,0.0,244.38,80,0,0.0,343.11,13,0,0.0,336.41,6,0,0.0,342.55
August,4,3:30,1,0,0.0,284.97,80,0,0.0,355.96,11,0,0.0,327.59,5,0,0.0,292.67
August,4,4:00,1,0,0.0,272.09,80,0,0.0,310.82,11,0,0.0,315.45,4,0,0.0,295.5
August,4,4:30,1,0,0.0,184.9,78,0,0.0,281.63,10,0,0.0,301.16,4,0,0.0,265.67
August,4,5:00,1,0,0.0,190.74,44,0,5e-06,272.15,12,0,0.0,309.17,4,0,0.0,282.06
August,4,5:30,1,0,0.0,239.71,37,0,0.000866,240.32,17,0,0.0,277.87,5,0,0.0,292.13
August,4,6:00,2,0,0.0,254.86,36,1,0.019108,247.13,28,0,0.0,267.62,12,0,0.0,262.89
August,4,6:30,3,0,0.0,245.19,34,2,0.05603,317.0,49,0,0.0,282.43,21,0,0.0,262.16
August,4,7:00,8,0,0.0,254.85,43,1,0.015983,301.62,90,0,0.0,268.88,38,0,5e-06,283.51
August,4,7:30,18,0,1e-05,303.5,54,0,0.001161,290.05,153,0,2e-06,273.44,67,0,0.00045,285.28
August,4,8:00,47,0,0.000621,314.63,82,1,0.008047,297.89,279,0,0.000141,293.61,124,1,0.005254,283.91
August,4,8:30,87,1,0.008084,325.2,128,2,0.014362,312.08,433,1,0.002075,309.62,192,2,0.010266,292.64
August,4,9:00,135,4,0.02651,325.5,204,1,0.004963,323.94,620,4,0.006291,325.2,293,4,0.015246,302.85
August,4,9:30,177,6,0.032879,334.16,274,2,0.007375,333.34,788,9,0.010958,338.69,370,12,0.032323,315.24
August,4,10:00,211,2,0.009044,339.58,343,7,0.019511,339.94,936,15,0.015587,343.26,441,13,0.02938,324.11
August,4,10:30,239,0,0.00037,336.32,388,12,0.032081,350.04,1056,14,0.013101,351.1,493,19,0.038829,327.9
August,4,11:00,251,0,2e-06,341.91,429,10,0.023059,357.45,1136,17,0.014763,359.19,536,14,0.02677,331.0
August,4,11:30,258,0,1e-06,346.26,461,10,0.022578,359.8,1165,27,0.023537,363.04,568,14,0.025034,333.34
August,4,12:00,258,0,0.000121,340.72,500,9,0.018101,358.26,1194,28,0.023397,362.17,595,17,0.028226,337.67
August,4,12:30,261,1,0.002557,330.96,518,11,0.021319,363.46,1197,22,0.018323,363.73,603,19,0.031002,340.66
August,4,13:00,260,2,0.007115,334.36,536,12,0.022277,364.07,1190,18,0.01545,367.19,599,15,0.025712,341.96
August,4,13:30,260,1,0.002568,348.07,548,15,0.026804,357.88,1189,24,0.019832,371.76,606,12,0.020074,336.61
August,4,14:00,265,0,0.000303,353.22,570,10,0.018274,357.98,1204,24,0.0199,373.32,620,11,0.017384,335.01
August,4,14:30,271,1,0.004192,350.33,574,8,0.014437,361.06,1213,24,0.019872,373.23,630,11,0.017223,340.89
August,4,15:00,271,5,0.018388,347.94,575,7,0.011613,362.14,1213,14,0.0113,372.33,631,9,0.014268,342.57
August,4,15:30,273,7,0.025248,351.3,579,5,0.008017,362.19,1208,6,0.005301,373.39,622,11,0.016878,345.14
August,4,16:00,266,2,0.008253,350.68,572,4,0.006614,366.46,1203,6,0.005316,371.23,622,8,0.012757,350.07
August,4,16:30,255,1,0.003006,346.5,562,4,0.007952,370.81,1165,6,0.005522,371.86,609,9,0.014952,353.84
August,4,17:00,232,2,0.008186,349.02,542,4,0.007901,370.87,1099,6,0.00532,371.76,583,8,0.013226,353.39
August,4,17:30,208,2,0.008178,345.27,521,5,0.008683,372.34,1025,9,0.008955,371.31,548,7,0.012223,345.58
August,4,18:00,179,3,0.01625,342.87,471,6,0.012587,371.65,930,10,0.010691,371.4,486,5,0.00939,347.58
August,4,18:30,158,1,0.006758,350.74,439,8,0.017535,370.36,820,8,0.009232,375.29,433,4,0.009971,347.53
August,4,19:00,115,1,0.006218,350.3,396,6,0.015381,368.33,731,11,0.01448,378.78,397,8,0.021392,341.13
August,4,19:30,90,2,0.021567,349.92,368,7,0.018365,358.6,656,11,0.016511,377.05,366,15,0.039629,342.67
August,4,20:00,63,2,0.037898,349.97,328,10,0.030133,354.51,573,11,0.019572,374.19,325,13,0.041468,338.79
August,4,20:30,50,7,0.130787,355.8,273,6,0.023373,350.84,492,5,0.010417,367.94,280,7,0.026716,337.87
August,4,21:00,39,7,0.180855,348.06,224,4,0.019229,345.58,414,1,0.002029,362.23,228,6,0.026238,338.4
August,4,21:30,30,2,0.074225,332.4,188,1,0.006682,349.31,354,0,9.4e-05,354.73,198,3,0.014553,345.64
August,4,22:00,23,4,0.164385,334.69,134,0,0.000428,344.69,282,0,1e-06,349.06,163,1,0.003259,340.93
August,4,22:30,17,10,0.625002,343.81,102,0,3e-06,334.9,212,0,0.0,341.18,139,0,0.002971,343.33
August,4,23:00,14,4,0.260479,337.2,75,0,0.0,316.27,159,0,0.0,340.08,110,1,0.009846,348.16
August,4,23:30,11,0,0.015536,340.87,55,0,0.0,306.39,127,0,0.0,351.81,78,0,0.005278,336.45
August,5,0:00,5,0,0.0,375.56,36,0,0.0,317.43,78,0,0.0,348.85,46,0,0.0,326.35
August,5,0:30,4,0,0.0,312.35,32,0,0.0,323.7,58,0,0.0,347.33,35,0,0.0,352.2
August,5,1:00,3,0,0.0,297.99,35,0,0.0,333.48,41,0,0.0,339.36,26,0,0.0,373.61
August,5,1:30,2,0,0.0,288.4,32,0,0.0,331.84,30,0,0.0,310.78,19,0,0.0,358.02
August,5,2:00,2,0,0.0,322.38,36,0,0.0,360.17,23,0,0.0,298.47,13,0,0.0,328.75
August,5,2:30,2,0,0.0,266.12,37,0,0.0,380.65,19,0,0.0,290.65,9,0,0.0,316.3
August,5,3:00,2,0,0.0,262.81,41,0,0.0,329.12,15,0,0.0,294.61,3,0,0.0,315.19
August,5,3:30,2,0,0.0,296.72,44,0,0.0,264.95,13,0,0.0,307.62,1,0,0.0,310.81
August,5,4:00,2,0,0.0,322.3,44,0,0.0,245.28,12,0,0.0,308.97,1,0,0.0,305.98
August,5,4:30,2,0,0.0,312.52,43,0,0.0,232.78,11,0,0.0,291.06,1,0,0.0,302.21
August,5,5:00,2,0,0.0,258.35,31,0,1.4e-05,229.96,13,0,0.0,293.52,1,0,0.0,302.57
August,5,5:30,3,0,0.0,225.17,21,0,0.003552,292.34,18,0,0.0,291.17,3,0,0.0,283.48
August,5,6:00,3,0,0.0,247.56,19,2,0.083424,298.77,30,0,0.0,264.82,12,0,0.0,243.15
August,5,6:30,5,0,0.0,220.81,24,4,0.183239,305.35,51,0,0.0,254.85,23,0,0.0,248.37
August,5,7:00,9,0,3e-05,253.74,33,2,0.047118,289.04,93,0,0.0,268.04,43,0,0.0,276.76
August,5,7:30,23,0,0.00203,291.92,49,0,0.002161,290.96,155,0,0.0,280.74,73,0,0.0,286.81
August,5,8:00,53,1,0.019529,291.63,93,1,0.007489,299.61,270,0,1e-06,300.5,125,0,1e-06,288.72
August,5,8:30,90,4,0.040567,309.12,142,2,0.013547,315.59,404,0,0.000121,316.05,188,0,8e-05,293.43
August,5,9:00,133,4,0.03139,326.58,214,1,0.003237,322.89,576,1,0.001913,327.04,272,0,0.001324,301.24
August,5,9:30,170,3,0.017134,330.51,273,0,0.000588,332.23,725,4,0.00606,334.83,339,2,0.005508,312.38
August,5,10:00,202,1,0.003912,331.06,329,3,0.008378,338.22,846,9,0.010309,339.05,403,5,0.012664,320.91
August,5,10:30,224,1,0.003336,331.7,370,8,0.021903,346.12,950,14,0.01498,346.66,450,9,0.020028,325.81
August,5,11:00,238,2,0.008411,335.17,411,7,0.01784,351.52,1019,11,0.0112,351.29,492,9,0.01875,333.19
August,5,11:30,248,1,0.005057,336.06,440,11,0.02547,354.32,1051,12,0.011691,352.75,522,8,0.016213,333.51
August,5,12:00,253,2,0.009724,335.98,470,7,0.015488,360.68,1058,21,0.019746,355.19,541,7,0.013662,334.25
August,5,12:30,255,3,0.013435,331.58,486,6,0.011943,364.12,1064,24,0.022729,358.85,545,10,0.018804,334.53
August,5,13:00,255,1,0.004232,335.52,506,4,0.008343,364.2,1065,13,0.011911,360.07,545,11,0.01988,335.32
August,5,13:30,256,0,0.000194,340.95,518,9,0.016438,359.93,1065,9,0.008472,362.82,545,12,0.022515,337.37
August,5,14:00,260,0,1e-06,339.94,538,8,0.01531,358.51,1077,10,0.008865,365.41,558,13,0.02259,336.22
August,5,14:30,262,0,0.0,343.9,544,5,0.008675,360.91,1080,11,0.010131,368.92,558,9,0.015309,335.29
August,5,15:00,262,0,0.0,346.89,541,4,0.007532,358.48,1074,8,0.007469,368.11,556,6,0.010931,337.09
August,5,15:30,260,0,0.0,341.67,536,5,0.009704,358.04,1063,6,0.005497,368.6,559,6,0.011108,337.42
August,5,16:00,262,0,0.0,344.52,534,6,0.011349,364.7,1055,5,0.005049,367.79,561,5,0.008619,341.02
August,5,16:30,249,0,0.0,344.82,513,5,0.010697,367.15,1034,5,0.005217,365.57,544,5,0.008343,342.17
August,5,17:00,221,0,0.0,341.24,487,6,0.012242,369.23,976,7,0.007385,367.75,511,3,0.006106,339.73
August,5,17:30,193,0,0.0,337.85,472,6,0.01291,368.58,922,10,0.011056,366.48,481,2,0.003541,341.77
August,5,18:00,170,0,0.0,338.0,437,7,0.015117,363.8,848,12,0.013899,364.27,434,2,0.003716,345.86
August,5,18:30,144,0,2e-06,342.41,396,5,0.012416,360.39,741,7,0.009593,363.34,389,1,0.002131,343.66
August,5,19:00,98,0,0.000393,351.45,352,5,0.015301,357.2,662,5,0.007242,362.59,357,2,0.006345,339.75
August,5,19:30,72,1,0.012229,345.61,315,6,0.018878,356.12,589,5,0.008019,361.03,327,5,0.016539,342.43
